loan_size,interest_rate,borrower_income,debt_to_income,num_of_accounts,derogatory_marks,total_debt,loan_status
10700.0,7.672,52800,0.431818181818182,5,1,22800,0
8400.0,6.692,43600,0.311926605504587,3,0,13600,0
9000.0,6.963,46100,0.349240780911063,3,0,16100,0
10700.0,7.664,52700,0.430740037950664,5,1,22700,0
10800.0,7.698,53000,0.433962264150943,5,1,23000,0
10100.0,7.438,50600,0.407114624505929,4,1,20600,0
10300.0,7.49,51100,0.412915851272016,4,1,21100,0
8800.0,6.857,45100,0.334811529933481,3,0,15100,0
9300.0,7.096,47400,0.367088607594937,3,0,17400,0
9700.0,7.248,48800,0.385245901639344,4,0,18800,0
9300.0,7.085,47300,0.365750528541226,3,0,17300,0
9200.0,7.015,46600,0.356223175965665,3,0,16600,0
9200.0,7.043,46900,0.360341151385928,3,0,16900,0
9400.0,7.101,47400,0.367088607594937,3,0,17400,0
8400.0,6.703,43700,0.31350114416476,3,0,13700,0
9400.0,7.136,47700,0.371069182389937,3,0,17700,0
8900.0,6.897,45500,0.340659340659341,3,0,15500,0
8300.0,6.648,43200,0.305555555555556,2,0,13200,0
8000.0,6.539,42100,0.287410926365796,2,0,12100,0
10200.0,7.46,50800,0.409448818897638,4,1,20800,0
5200.0,5.326,30700,0.0228013029315961,0,0,700,0
9300.0,7.068,47100,0.363057324840764,3,0,17100,0
7300.0,6.225,39200,0.23469387755102,2,0,9200,0
9000.0,6.943,45900,0.34640522875817,3,0,15900,0
8700.0,6.813,44700,0.328859060402685,3,0,14700,0
8800.0,6.85,45100,0.334811529933481,3,0,15100,0
8400.0,6.7,43700,0.31350114416476,3,0,13700,0
7900.0,6.482,41600,0.278846153846154,2,0,11600,0
9700.0,7.267,49000,0.387755102040816,4,0,19000,0
8400.0,6.7,43600,0.311926605504587,3,0,13600,0
7100.0,6.159,38600,0.22279792746114,1,0,8600,0
9600.0,7.216,48500,0.381443298969072,4,0,18500,0
10000.0,7.389,50100,0.401197604790419,4,1,20100,0
10400.0,7.553,51700,0.41972920696325,4,1,21700,0
9400.0,7.118,47600,0.369747899159664,3,0,17600,0
10100.0,7.437,50600,0.407114624505929,4,1,20600,0
8300.0,6.638,43100,0.303944315545244,2,0,13100,0
9800.0,7.296,49300,0.391480730223124,4,0,19300,0
9100.0,7.011,46600,0.356223175965665,3,0,16600,0
8100.0,6.561,42300,0.290780141843972,2,0,12300,0
8800.0,6.852,45100,0.334811529933481,3,0,15100,0
9100.0,6.981,46300,0.352051835853132,3,0,16300,0
10200.0,7.454,50700,0.408284023668639,4,1,20700,0
7200.0,6.173,38700,0.224806201550388,1,0,8700,0
8900.0,6.927,45800,0.344978165938865,3,0,15800,0
8400.0,6.684,43500,0.310344827586207,3,0,13500,0
9400.0,7.119,47600,0.369747899159664,3,0,17600,0
9300.0,7.072,47200,0.364406779661017,3,0,17200,0
11700.0,8.104,56900,0.472759226713533,6,1,26900,0
8300.0,6.653,43200,0.305555555555556,2,0,13200,0
10600.0,7.626,52400,0.427480916030534,5,1,22400,0
10400.0,7.551,51700,0.41972920696325,4,1,21700,0
8500.0,6.755,44200,0.321266968325792,3,0,14200,0
11100.0,7.829,54300,0.447513812154696,5,1,24300,0
8800.0,6.856,45100,0.334811529933481,3,0,15100,0
8500.0,6.728,43900,0.316628701594533,3,0,13900,0
10000.0,7.386,50100,0.401197604790419,4,1,20100,0
8200.0,6.605,42800,0.299065420560748,2,0,12800,0
8400.0,6.689,43500,0.310344827586207,3,0,13500,0
10100.0,7.419,50400,0.404761904761905,4,1,20400,0
10600.0,7.637,52500,0.428571428571429,5,1,22500,0
11200.0,7.869,54600,0.450549450549451,5,1,24600,0
10800.0,7.7,53100,0.435028248587571,5,1,23100,0
8800.0,6.872,45300,0.337748344370861,3,0,15300,0
8500.0,6.728,43900,0.316628701594533,3,0,13900,0
9600.0,7.22,48500,0.381443298969072,4,0,18500,0
10100.0,7.406,50300,0.403578528827038,4,1,20300,0
8600.0,6.773,44300,0.322799097065463,3,0,14300,0
9900.0,7.343,49700,0.396378269617706,4,0,19700,0
9900.0,7.311,49400,0.392712550607287,4,0,19400,0
7200.0,6.199,38900,0.22879177377892,2,0,8900,0
9200.0,7.044,46900,0.360341151385928,3,0,16900,0
8600.0,6.773,44300,0.322799097065463,3,0,14300,0
11100.0,7.853,54500,0.44954128440367,5,1,24500,0
8700.0,6.838,44900,0.33184855233853,3,0,14900,0
9300.0,7.072,47100,0.363057324840764,3,0,17100,0
7400.0,6.276,39700,0.244332493702771,2,0,9700,0
9200.0,7.055,47000,0.361702127659575,3,0,17000,0
10500.0,7.579,51900,0.421965317919075,4,1,21900,0
9800.0,7.277,49100,0.389002036659878,4,0,19100,0
8600.0,6.778,44400,0.324324324324324,3,0,14400,0
9400.0,7.106,47500,0.368421052631579,3,0,17500,0
10400.0,7.543,51600,0.418604651162791,4,1,21600,0
8700.0,6.804,44600,0.327354260089686,3,0,14600,0
7800.0,6.428,41100,0.27007299270073,2,0,11100,0
9300.0,7.063,47100,0.363057324840764,3,0,17100,0
